event_time,baseline,aggressive_v2
2025-11-03 15:00:00+00:00,99974.80892506722,100027.2790087982
2025-11-03 16:00:00+00:00,99913.42434981745,99863.3638665254
2025-11-03 17:00:00+00:00,99926.8134728365,99837.99945459845
2025-11-03 18:00:00+00:00,100000.03905487692,99899.69334752142
2025-11-03 19:00:00+00:00,100135.51665346709,99943.03640117389
2025-11-03 20:00:00+00:00,100150.98031522559,100124.71800499139
2025-11-04 14:00:00+00:00,100108.6538497743,100017.43693368246
2025-11-04 15:00:00+00:00,100188.38135039088,100214.64559891116
2025-11-04 16:00:00+00:00,100226.13578727884,100191.7981023132
2025-11-04 17:00:00+00:00,100207.88860741294,100165.26794600554
2025-11-04 18:00:00+00:00,100156.38043506727,99818.18006993993
2025-11-04 19:00:00+00:00,100269.38646778278,100136.92283243146
2025-11-04 20:00:00+00:00,100402.91625515965,100326.75287449305
2025-11-05 14:00:00+00:00,100520.2984300761,100411.48553270286
2025-11-05 15:00:00+00:00,100472.14982361966,100373.77265021561
2025-11-05 16:00:00+00:00,100439.45847672559,100198.35932593487
2025-11-05 17:00:00+00:00,100410.41171657297,100120.64949510913
2025-11-05 18:00:00+00:00,100374.62136146835,100201.81057442284
2025-11-05 19:00:00+00:00,100501.99126580174,100493.97054470202
2025-11-05 20:00:00+00:00,100487.51530781793,100539.9140492588
2025-11-06 14:00:00+00:00,100542.30086929833,100646.55112301893
2025-11-06 15:00:00+00:00,100555.93903379972,100707.85480184785
2025-11-06 16:00:00+00:00,100445.01762927469,100609.79179648365
2025-11-06 17:00:00+00:00,100556.793644271,100709.22682264147
2025-11-06 18:00:00+00:00,100586.66059798338,101127.96936931285
2025-11-06 19:00:00+00:00,100615.08206389545,101215.1138623898
2025-11-06 20:00:00+00:00,100586.23003454223,101288.65988933772
2025-11-07 14:00:00+00:00,100551.85329139727,101203.47383553974
2025-11-07 15:00:00+00:00,100483.07337568834,101244.07443662442
2025-11-07 16:00:00+00:00,100413.31887086059,101297.72347056055
2025-11-07 17:00:00+00:00,100212.0393658522,101033.44941463017
2025-11-07 18:00:00+00:00,100238.82642046575,101036.48213021053
2025-11-07 19:00:00+00:00,100241.75257228942,100855.25519739129
2025-11-07 20:00:00+00:00,100318.00223007836,100793.37749228875
2025-11-10 14:00:00+00:00,100375.80308679317,100724.64827095732
2025-11-10 15:00:00+00:00,100349.23102251705,100581.17669033605
2025-11-10 16:00:00+00:00,100093.60277504614,100102.68305154672
2025-11-10 17:00:00+00:00,99943.15161714322,99495.2276269662
2025-11-10 18:00:00+00:00,99948.19973333165,99442.03504350917
2025-11-10 19:00:00+00:00,99866.24504446558,99282.85409196452
2025-11-10 20:00:00+00:00,99733.0964990379,99207.82857295572
2025-11-11 14:00:00+00:00,99628.25880797961,98952.3101946929
2025-11-11 15:00:00+00:00,99703.85227348948,99133.13087758054
2025-11-11 16:00:00+00:00,99679.57119436181,99075.76788995527
2025-11-11 17:00:00+00:00,99645.0751285143,98975.06731949048
2025-11-11 18:00:00+00:00,99692.84418740548,99113.048143502
2025-11-11 19:00:00+00:00,99647.83767587402,99172.16014572623
2025-11-11 20:00:00+00:00,99592.79922530624,98989.02425362956
2025-11-12 14:00:00+00:00,99449.59674894618,98941.52720220537
2025-11-12 15:00:00+00:00,99480.14047186982,98825.71343279886
2025-11-12 16:00:00+00:00,99603.16993160009,98966.08853939007
2025-11-12 17:00:00+00:00,99623.75701184428,98916.80769298856
